"AUC","Brier","model","EPV","P","rho","beta_pattern","sim"
0.595161042317788,0.255282967506439,"MLE",5,12,0,"halfnoise",1
0.655708344913334,0.242029958739297,"MLE",5,12,0,"halfnoise",2
0.633164451452823,0.249235649199371,"MLE",5,12,0,"halfnoise",3
0.606039146814721,0.258606357745054,"MLE",5,12,0,"halfnoise",4
0.647894964218708,0.240768397178108,"MLE",5,12,0,"halfnoise",5
0.664676154138588,0.237544684594564,"MLE",5,12,0,"halfnoise",6
0.664705298322665,0.243036135445942,"MLE",5,12,0,"halfnoise",7
0.594832746660921,0.265092936236252,"MLE",5,12,0,"halfnoise",8
0.666592556771771,0.244084111402628,"MLE",5,12,0,"halfnoise",9
0.627618582633264,0.245794077223918,"MLE",5,12,0,"halfnoise",10
0.947331097573251,0.0929003781392996,"MLE",5,12,0.5,"equal",1
0.925014952344497,0.124531633794275,"MLE",5,12,0.5,"equal",2
0.937021001454196,0.110653300752261,"MLE",5,12,0.5,"equal",3
0.947519486412478,0.0948333769878847,"MLE",5,12,0.5,"equal",4
0.933741042119092,0.111637479568557,"MLE",5,12,0.5,"equal",5
0.931065576652474,0.116210843327602,"MLE",5,12,0.5,"equal",6
0.921330341285455,0.123256048602541,"MLE",5,12,0.5,"equal",7
0.935896439757572,0.111865670406553,"MLE",5,12,0.5,"equal",8
0.937477589996418,0.105207601891317,"MLE",5,12,0.5,"equal",9
0.937122088171823,0.122909605589103,"MLE",5,12,0.5,"equal",10
0.820543488647975,0.18141256867029,"MLE",5,12,0.5,"strong",1
0.841909429799533,0.174717258009359,"MLE",5,12,0.5,"strong",2
0.87569696401451,0.150044649679396,"MLE",5,12,0.5,"strong",3
0.870900757425116,0.153587593952542,"MLE",5,12,0.5,"strong",4
0.843105443105442,0.176491882468774,"MLE",5,12,0.5,"strong",5
0.873824090117753,0.148267401910502,"MLE",5,12,0.5,"strong",6
0.8523221854862,0.159632427507571,"MLE",5,12,0.5,"strong",7
0.848289873741818,0.163295572628058,"MLE",5,12,0.5,"strong",8
0.874296297920191,0.150883518244406,"MLE",5,12,0.5,"strong",9
0.872772741094054,0.151919657533462,"MLE",5,12,0.5,"strong",10
0.855818651293081,0.163899406320016,"MLE",5,12,0.5,"noise",1
0.844025084324241,0.170118546521587,"MLE",5,12,0.5,"noise",2
0.857159270346677,0.1572674449883,"MLE",5,12,0.5,"noise",3
0.887224013660124,0.146270384028803,"MLE",5,12,0.5,"noise",4
0.875190806608676,0.144463636755947,"MLE",5,12,0.5,"noise",5
0.853731285478105,0.159994358711166,"MLE",5,12,0.5,"noise",6
0.881450603894752,0.144824947243658,"MLE",5,12,0.5,"noise",7
0.847843207657783,0.171619108257451,"MLE",5,12,0.5,"noise",8
0.842520327892762,0.167568401814911,"MLE",5,12,0.5,"noise",9
0.857443676395286,0.161805327661756,"MLE",5,12,0.5,"noise",10
0.717001634720262,0.230752296837676,"MLE",5,12,0.5,"halfnoise",1
0.72238892372811,0.217876376884877,"MLE",5,12,0.5,"halfnoise",2
0.75740380004969,0.205809451572928,"MLE",5,12,0.5,"halfnoise",3
0.778965720000001,0.205147596771908,"MLE",5,12,0.5,"halfnoise",4
0.759318759318758,0.204106016164254,"MLE",5,12,0.5,"halfnoise",5
0.765810652771151,0.199836121568677,"MLE",5,12,0.5,"halfnoise",6
0.712325301063604,0.222761995877732,"MLE",5,12,0.5,"halfnoise",7
0.745100007116207,0.207386179865849,"MLE",5,12,0.5,"halfnoise",8
0.767691472214701,0.209236004561628,"MLE",5,12,0.5,"halfnoise",9
0.740912072834624,0.213443086157659,"MLE",5,12,0.5,"halfnoise",10
0.722366990979349,0.215740580550189,"MLE",10,4,0,"equal",1
0.738893832892053,0.209797676400691,"MLE",10,4,0,"equal",2
0.681881971542984,0.225739366325933,"MLE",10,4,0,"equal",3
0.733624552678419,0.210174352813163,"MLE",10,4,0,"equal",4
