"rMPSE","MAPE","Brier","EPV","P","rho","beta_pattern","sim","model"
0.105981756189798,0.0794790671420874,0.176358009816505,5,12,0,"equal",5,"MLE"
0.156547658916063,0.117554313078352,0.18789782634568,5,12,0,"equal",6,"MLE"
0.131579661687689,0.0971390982558048,0.183178188184947,5,12,0,"equal",7,"MLE"
0.160236141508957,0.119448440816571,0.187766856254337,5,12,0,"equal",8,"MLE"
0.150235117171296,0.111667834771635,0.191100033251704,5,12,0,"equal",9,"MLE"
0.133298588007682,0.101359975912541,0.183279879079681,5,12,0,"equal",10,"MLE"
0.160520930320375,0.130720233918618,0.218681378644805,5,12,0,"strong",1,"MLE"
0.173980342904705,0.140068539446966,0.223717305730526,5,12,0,"strong",2,"MLE"
0.147304304141821,0.116654207263109,0.212941213738162,5,12,0,"strong",3,"MLE"
0.167146939764271,0.129956277817595,0.222725768146786,5,12,0,"strong",4,"MLE"
0.207356004938041,0.162447162169323,0.242383611057802,5,12,0,"strong",5,"MLE"
0.20423825098335,0.159826915580333,0.236036552134505,5,12,0,"strong",6,"MLE"
0.151207715570733,0.118828713340914,0.21509145778002,5,12,0,"strong",7,"MLE"
0.127162080556059,0.103321990040229,0.209406975963837,5,12,0,"strong",8,"MLE"
0.191396467044062,0.155913958872052,0.231686204813507,5,12,0,"strong",9,"MLE"
0.125746296465675,0.097996355178577,0.20850471431312,5,12,0,"strong",10,"MLE"
0.119663709960509,0.0946425020116469,0.220036857274759,5,12,0,"noise",1,"MLE"
0.168313568602648,0.13512796546867,0.237446828760673,5,12,0,"noise",2,"MLE"
0.104750338354646,0.0828263325942745,0.218986423491709,5,12,0,"noise",3,"MLE"
0.117200800569383,0.092156810011354,0.220295710945728,5,12,0,"noise",4,"MLE"
0.133665653633508,0.107179234610038,0.224338754172495,5,12,0,"noise",5,"MLE"
0.155416451003402,0.124656510009946,0.231937329142551,5,12,0,"noise",6,"MLE"
0.216457253887741,0.174421474805433,0.251824775406434,5,12,0,"noise",7,"MLE"
0.126187520780366,0.0996362709928464,0.221141454257306,5,12,0,"noise",8,"MLE"
0.122949893524274,0.099428320802519,0.220964859401659,5,12,0,"noise",9,"MLE"
0.197643891843466,0.162144714709925,0.24413807284853,5,12,0,"noise",10,"MLE"
0.184235755998644,0.148393617818797,0.255282967506439,5,12,0,"halfnoise",1,"MLE"
