"rMPSE","MAPE","Brier","EPV","P","rho","beta_pattern","sim"
0.230386259719993,0.194546862823131,0.2876115648,5,4,0.5,"halfnoise",8
0.22193717070707,0.182767429513654,0.2873262328,5,4,0.5,"halfnoise",9
0.205748555569263,0.173834447100277,0.280401494,5,4,0.5,"halfnoise",10
0.185628185979949,0.150672722655412,0.21572105,5,8,0,"equal",1
0.22056201736159,0.179937176747754,0.233042444,5,8,0,"equal",2
0.178131065761754,0.148511141164748,0.2139938208,5,8,0,"equal",3
0.207440911372549,0.167367961135458,0.2263487896,5,8,0,"equal",4
0.229113943408839,0.190920824062139,0.234107208,5,8,0,"equal",5
0.173876661356891,0.13880625798772,0.2122160304,5,8,0,"equal",6
0.192825916099128,0.157687379253535,0.2178170944,5,8,0,"equal",7
0.172511202062775,0.142601588148651,0.212622696,5,8,0,"equal",8
0.174231878802003,0.140987442365332,0.2097725644,5,8,0,"equal",9
0.208439928394296,0.171384199694705,0.2263744568,5,8,0,"equal",10
0.151023455466979,0.121142169081541,0.2231583756,5,8,0,"strong",1
0.212274181981044,0.168798599566685,0.2412117868,5,8,0,"strong",2
0.136354022576866,0.108451277251706,0.2184898324,5,8,0,"strong",3
0.150896640137653,0.119948941921484,0.220089552,5,8,0,"strong",4
0.180179848692672,0.149223326666853,0.2306223252,5,8,0,"strong",5
0.144835447886835,0.115202431596153,0.220153358,5,8,0,"strong",6
0.178867501810524,0.14243143602346,0.2301088688,5,8,0,"strong",7
0.209935360995976,0.173343964969802,0.2445317768,5,8,0,"strong",8
0.193927331293607,0.1574264053681,0.2352971424,5,8,0,"strong",9
0.219215531712634,0.181632773621989,0.24845417,5,8,0,"strong",10
0.160977212206288,0.12921359186231,0.2455158812,5,8,0,"noise",1
0.173448514098554,0.141589619194658,0.2503895652,5,8,0,"noise",2
0.170992542123405,0.138332410065126,0.2476946028,5,8,0,"noise",3
0.134192513777837,0.10716940518505,0.2372744212,5,8,0,"noise",4
0.170725144321642,0.138625856187526,0.2494295336,5,8,0,"noise",5
0.183461451949154,0.14893408649833,0.2527793604,5,8,0,"noise",6
0.154373857075059,0.124594763946025,0.2438956888,5,8,0,"noise",7
0.131823152361214,0.105458188053928,0.2385169468,5,8,0,"noise",8
0.194297575810726,0.16126951445468,0.258756284,5,8,0,"noise",9
0.173859346905634,0.138462893317433,0.2511562676,5,8,0,"noise",10
0.173144217767862,0.140077269624774,0.2610604244,5,8,0,"halfnoise",1
0.141734625261367,0.112599135142914,0.2517016004,5,8,0,"halfnoise",2
0.166782388217287,0.135778605760232,0.25999307,5,8,0,"halfnoise",3
0.164532276376292,0.134435328008246,0.2564641608,5,8,0,"halfnoise",4
0.162365020224406,0.130876925874288,0.2570943028,5,8,0,"halfnoise",5
0.142178280496476,0.115568349328791,0.25342123,5,8,0,"halfnoise",6
